,name,god_0,god_1,god_2,city,addr,religion,tel,principal,longitude,latitude,dist
59,雲山寺,藥師佛,,,新北市,米倉里牛寮埔8號,佛教,02-26106659,許向益,121.434097290039,25.1416091918945,八里區
60,西雲寺,普庵祖師,,,新北市,成州里3鄰西雲路185巷3號,佛教,02-22914392,陳坤桐,121.445907592773,25.0966053009033,五股區
61,奠濟宮,開漳聖王,,,基隆市,仁三路27之2號,道教,02-24289266,謝文賢,121.74324798584,25.1282234191895,仁愛區
62,太乙宮,三山國王,,,基隆市,愛四路2巷30號,道教,02-24280073,張益銓,121.743103027344,25.1274890899658,仁愛區
63,衜竹寺,普庵祖師,,,基隆市,華新二路150之2號,佛教,02-24511720,黃詩淵,121.641441345215,25.1392059326172,七堵區
64,瑪南里福興宮,福德正神,,,基隆市,瑪南里大華二路2之1號,道教,02-24561212,張景明,121.69979095459,25.1008586883545,七堵區
65,明德禪寺,普庵祖師,,,新北市,錦昌里圓通路367巷33弄36號,佛教,02-22466836,許經術,121.495498657227,24.9848308563232,中和區
66,紫竹寺,普庵祖師,,,新北市,橫路里興南路3段91巷臨57號,道教,02-29460002,陳仕宏,121.491600036621,24.9699802398682,中和區
67,準提寺,釋迦牟尼佛,,,新北市,嘉添里白雞路100之8號,佛教,02-26743750,周翠娥,121.393997192383,24.9008598327637,三峽區
68,蓮座山觀音寺,普庵祖師,,,桃園市,康安里22鄰瑞安路2段48巷28號,佛教,03-3885674,徐嵐輝,121.281402587891,24.8714694976807,大溪區
69,妙僊山聖慈宮,瑤池金母,,,新北市,民義路二段37號之34,道教,02-22931729,林文錡,121.413101196289,25.1004390716553,五股區
70,金碧宮,天上聖母,,,臺北市,內湖里金龍路92號,道教,02-27900849,賴吉雄,121.591400146484,25.0852508544922,內湖區
71,瑪陵坑南聖宮,天上聖母,,,基隆市,大華二路2之3號,道教,02-24551212,張瓏瀚,121.699798583984,25.1008605957031,七堵區
72,福德宮,福德正神,,,基隆市,瑪東里大同街52之1號邊,道教,02-24564256,李川,121.693717956543,25.131383895874,七堵區
73,七堵福德宮,福德正神,,,基隆市,富民里崇廉街11號,道教,02-24568655,詹福榮,121.715911865234,25.0991153717041,七堵區
74,福德宮,福德正神,,,基隆市,華新二路122之1號旁,道教,02-24515632,詹春長,121.648101806641,25.1277961730957,七堵區
75,力行福德宮,福德正神,,,新北市,力行里圓通路162巷2弄2號,道教,02-22484646,林寬仁,121.497299194336,24.9954795837402,中和區
76,修德寺,釋迦牟尼佛,,,桃園市,普濟路122號,佛教,03-3883406,簡阿蘭,121.285949707031,24.8864364624023,大溪區
77,大龍峒福壽宮,福德正神,,,臺北市,重慶里敦煌路2之1號,道教,02-25910340,陳源陽,121.520797729492,25.0748996734619,大同區
78,龍雲寺,釋迦牟尼佛,,,臺北市,景星里延平北路三段18巷1號,佛教,02-25948980,王照文(釋明藹),121.510704040527,25.0665626525879,大同區
79,樹人書院文昌祠,文昌帝君,,,臺北市,老師里迪化街二段364巷14號,道教,02-25992878,陳錫彰,121.510009765625,25.0677585601807,大同區
80,內湖承天宮,天上聖母,,,臺北市,文湖街21巷93號,道教,09-35025117,郭慶輝,121.564697265625,25.0865497589111,內湖區
81,台北太子宮無極聖殿,瑤池金母,,,新北市,茂長里7鄰陳厝坑51號之2,道教,02-26365377,沈吉東,121.520401000977,25.2479496002197,三芝區
82,水口民主公王宮,民主公王爺,,,新北市,新庄里新庄子59號之3,道教,02-26364096,江重光,121.507598876953,25.2743492126465,三芝區
83,鶴嶺天乙寺,濟公活佛,,,新北市,集福里天乙路129號,佛教,02-22912698,藍德鋆,121.442199707031,25.1145191192627,五股區
84,福安宮,福德正神,,,基隆市,中正路318巷11之1號,道教,02-24625163,陳宋萬定(逕予登),121.761497497559,25.1422805786133,中正區
85,東山夫子宮,關聖帝君,,,基隆市,正榮街110巷41號,道教,02-24625505,李泰雄,121.764022827148,25.1433238983154,中正區
86,福忠宮,池府王爺,,,桃園市,圳頭村古亭9鄰25號,道教,03-3868776,劉傳德,121.19953918457,25.0893115997314,大園區
87,廣安宮,開漳聖王,,,新北市,金包里街104號,道教,02-24983815,陳振基,121.638313293457,25.2219142913818,金山區
88,天母三玉宮,神農大帝,,,臺北市,天福里天母東路6號,道教,02-28754000,莊千鑫,121.530601501465,25.1180191040039,士林區
89,陽明山公館里關聖帝君廟,關聖帝君,,,臺北市,永公路350巷55號1樓,道教,02-28613090,葉進財,121.565498352051,25.1240997314453,士林區
90,義勇祠,大眾爺,,,基隆市,安一路266巷76之8號,道教,02-24262125,郭宗山,121.730201721191,25.1335792541504,安樂區
91,水尾福德宮,福德正神,,,桃園市,水尾里新生路522-1號,道教,03-4342779,莊建成,121.224006652832,24.9686965942383,中壢區
92,瑪西里面桶寮福德宮,福德正神,,,基隆市,大華三路109之1號前約600公尺,道教,02-24563743,王和雄,121.661590576172,25.1431121826172,七堵區
93,湖山巖,普庵祖師,,,新北市,興南路2段261巷11號,道教,02-29441680,蘇發,121.504058837891,24.9769630432129,中和區
94,三峽九龍萬億宮,天上聖母,,,新北市,金圳里互圳頭7之1號,道教,02-26720426,蔡郭片,121.37434387207,24.8897380828857,三峽區
95,九府仙師廟,九府仙師,,,臺北市,集英里民權西路70巷31、33號,道教,02-25317349,李宗波,121.519599914551,25.0630493164063,中山區
96,福山巖,清水祖師,,,桃園市,福山一路3號,道教,03-3888235,楊賴傳,121.265800476074,24.827579498291,大溪區
97,三武宮,郭王爺,,,新竹縣,文林村10鄰10號,道教,03-5924166,魏劉茂興,121.082397460938,24.7806301116943,芎林鄉
98,天德堂,明明上帝,,,桃園市,忠福里14鄰南園二路98號,一貫道,03-4520378,廖永康,121.231292724609,24.9719638824463,中壢區
99,善覺寺,普庵祖師,,,新北市,望古里灰窯24號,佛教,09-76255121,王巡,121.762702941895,25.0189208984375,平溪區
100,大香山觀音禪寺,普庵祖師,,,新北市,薯榔里靜安路二段3巷29號,佛教,02-24951696,顧希珍,121.704002380371,25.0212306976318,平溪區
101,福興宮,福德正神,,,新北市,興珍里中興路一段151巷4號,道教,02-29887412,林義一,121.464897155762,25.0733699798584,五股區
102,福昌宮,三山國王,,,新竹縣,石潭村8鄰福昌街300巷1號,道教,03-5928753,林政良,121.100608825684,24.7486572265625,芎林鄉
103,大覺寺,釋迦牟尼佛,,,新竹縣,長春路一段167號,佛教,03-5963646,釋永澄,121.089500427246,24.7333011627197,竹東鎮
104,天使宮,黃府王爺,,,基隆市,實踐路253巷19之1號,道教,02-24511220,謝柄寬,121.676597595215,25.0870609283447,七堵區
105,中和海山宮,天上聖母,,,新北市,嘉新里員山路327巷42號,道教,02-22217969,張禎祥,121.480598449707,25.0018196105957,中和區
106,道家萬玄仙宗三清道院總院,三清道祖,,,新北市,嘉添里白雞路40之5號,道教,02-86712253,李隆漢,121.376098632813,24.9116992950439,三峽區
107,得安宮,劉府王爺,,,新北市,安坑里安坑105之1號,道教,02-26726698,洪兩全,121.444412231445,24.9387626647949,三峽區
108,瑞源宮,開漳聖王,,,桃園市,瑞源里石園路760巷100號,道教,03-3809280,簡文德,121.25252532959,24.8671894073486,大溪區
109,督署宮(已拆除),裴先帥,,,新北市,崇德里9鄰仁愛街81號3樓,道教,02-29755872,何素馨,121.496055603027,25.0731353759766,三重區
110,無極金玉殿,玉皇大帝,,,新竹縣,新鳳村倒別牛1鄰15號,道教,03-5922699,邱瑞國,121.100563049316,24.7663421630859,芎林鄉
111,下山月桃窩萬善祠,有應公,,,新竹縣,下山村7鄰79號,道教,03-5921599,謝木水,121.057067871094,24.8108329772949,芎林鄉
112,代天巡狩三王府陳池姜三府王爺,三府王爺,,,新北市,店子里龜子山26之1號,道教,02-26371649,莊文松,121.505401611328,25.21217918396,三芝區
113,慈天宮,普庵祖師,,,新竹縣,北埔村北埔街1號,佛教,03-5801575,姜維經,121.058448791504,24.6997394561768,北埔鄉
114,北海天公廟,關聖帝君,,,新北市,後厝里土地公坑61之5號,道教,02-26363508,鄭重信,121.465103149414,25.2473392486572,三芝區
115,瑪南里大埔福德宮,福德正神,,,基隆市,大華二路130號旁,道教,02-24563333,蘇戊長,121.692230224609,25.1080894470215,七堵區
116,福德宮,福德正神,,,基隆市,瑪東里大華二路190號前,道教,02-24562574,張清波,121.687156677246,25.1111259460449,七堵區
117,溥濟宮,保生大帝,,,新北市,福真里橋和路202號,道教,02-22452005,林炎埤,121.49520111084,25.005880355835,中和區
118,天山靈寶寺,濟公活佛,,,桃園市,美華里金山路169巷66號,道教,03-3889729,吳德聖,121.310203552246,24.8807792663574,大溪區
119,福安宮,福德正神,,,新北市,更寮里更洲路47號之1,道教,02-29856396,陳天祥,121.457298278809,25.0793704986572,五股區
120,五股靜修寺,普庵祖師,,,新北市,觀音里中直路15號之3,佛教,02-22911166,蔡李順,121.424301147461,25.1118202209473,五股區
121,五股仙佛寺,釋迦牟尼佛,,,新北市,民義路一段220巷17之15號,佛教,02-82952117,陳受堯,121.42749786377,25.0968494415283,五股區
122,永興宮,財神爺,,,桃園市,榮興南路92之1號,道教,03-3775713,林健仁,121.30598449707,24.9485092163086,八德區
123,長和福地福德宮,福德正神,,,新竹市,長和里愛文街26巷60號,道教,03-5228173,林金地,120.962699890137,24.8102016448975,北區
124,威靈宮,廣澤尊王,,,新竹市,新雅里13鄰成功路278號,道教,03-5246172,楊昔祥,120.952003479004,24.811580657959,北區
125,祠宇媽祖宮,天上聖母,,,臺北市,延平里保安街49巷17號,道教,02-25539978,莊家聲,121.512252807617,25.0584716796875,大同區
126,集福宮福德爺,福德正神,,,新竹市,崇禮里6鄰中山路254號,道教,03-5229329,鄭錦洲,120.962089538574,24.802640914917,北區
127,太和宮,三官大帝,,,新竹縣,東興里大同路30號,道教,03-5872216,羅吉信,121.176811218262,24.7905082702637,關西鎮
128,上德宮,天上聖母,,,新北市,上德村崩山坑10之1號,道教,02-26656895,黃宗盛,121.69034576416,24.9485511779785,坪林區
129,六堵嶺頭福德宮,福德正神,,,基隆市,工建路104巷67之2號,道教,02-24512770,許金信,121.703598022461,25.0885791778564,七堵區
130,福德宮,福德正神,,,基隆市,八德路26之3號,道教,02-24311815,歐聰明,121.727272033691,25.111873626709,七堵區
131,乾德宮,五府千歲,,,新竹市,水田里12鄰水田街50巷3-1號,道教,03-5331871,陳志鴻,120.966400146484,24.812780380249,北區
132,冥漠公廟,有應公,,,新竹市,湳雅街174號,道教,03-5310031,陳嘉萌,120.974502563477,24.8209590911865,北區
133,新竹都城隍廟,城隍爺,,,新竹市,中山里14鄰中山路75號,道教,03-5223666,鄭來聖,120.965896606445,24.8044891357422,北區
134,軒轅教新竹黃帝神宮,軒轅黃帝,,,新竹市,新雅里5鄰和平路192號,道教,03-5250341,王秀螺,120.954399108887,24.8129806518555,北區
135,南中宮,福德正神,,,新竹市,湳中里8鄰湳中街40巷40-7號,道教,03-5346632,洪進上,120.966537475586,24.8215599060059,北區
136,大覺寺,釋迦牟尼佛,,,桃園市,保生里5鄰濱海路保生段306巷155號,佛教,03-4732570,黃鳳嬌,121.048515319824,25.0187320709229,觀音區
137,石橋復興宮,開漳聖王,,,桃園市,新興村4鄰26號,理教,03-4772318,陳俊宏,121.090614318848,25.0063495635986,觀音區
138,雲台山大羅金仙府,太上老君,,,新北市,永定里蚯蚓坑19之2號,道教,02-26631111,周秀梅,121.686798095703,25.0036506652832,石碇區
139,新北市板橋區北天廟,玄天上帝,,,新北市,振義里萬安街124巷4號,道教,02-29618737,楊勝興,121.484001159668,25.0248603820801,板橋區
140,道玄宮,太上老君,,,基隆市,壽山路10號,道教,02-24228393,簡紹林,121.75227355957,25.1333618164063,信義區
141,水仙宮,水仙尊王,,,新竹市,長和里1鄰北門街135號,道教,03-5267510,楊金土,120.96369934082,24.8106899261475,北區
142,修德寺,釋迦牟尼佛,,,新竹市,育英里6鄰中山路431巷34弄1號,佛教,03-5251557,郭淑琴,120.958702087402,24.7999897003174,北區
143,寄靈菴廟,有應公,,,新竹市,舊社里7鄰湳雅街351號,道教,03-5315355,黃文忠,120.977195739746,24.8232479095459,北區
144,暖暖安德宮,天上聖母,,,基隆市,暖暖里第2鄰暖暖街63號,道教,02-24575692,鄭怡信,121.73860168457,25.1011695861816,暖暖區
145,八卦福德宮,福德正神,,,新竹市,湳雅里2鄰東大路二段446巷271弄28號,道教,03-5422313,張慶順,120.961097717285,24.8203506469727,北區
146,七伍宮,七府王爺,,,新竹市,古賢里3鄰東大路三段110巷2弄1號,道教,03-5335339,王泰山,120.956199645996,24.8296394348145,北區
147,潛園里福德宮,福德正神,,,新竹市,潛園里西大路469巷17號,道教,03-5331819,柳宗義,120.965202331543,24.8021907806396,東區
148,北辰宮,福德正神,,,新竹市,仁德里4鄰北大路249號,道教,03-5223590,李清木,120.964302062988,24.8072891235352,北區
149,和平福德宮,福德正神,,,新竹市,磐石里7鄰磐石路28號,道教,03-5240095,張蔡淑珠,120.957000732422,24.8089408874512,北區
150,聖媽廟,天上聖母,,,新竹市,西門里7鄰江山街6-13號,道教,03-5260099,曾再霖(代理),120.964622497559,24.8053092956543,北區
151,北門口福聚宮,福德正神,,,臺北市,玉泉里延平北路1段68號,道教,02-25550051,陳正賢,121.511810302734,25.0516242980957,大同區
152,新竹崙仔受天宮,玄天上帝,,,新竹市,愛文街106-6號,道教,03-5232988,黃坤隆,120.962303161621,24.8093795776367,北區
153,聖母宮,天上聖母,,,基隆市,堵南里長安街245巷29號,道教,02-24511632,余明忠,121.696029663086,25.0753364562988,七堵區
154,圓明慈惠堂,瑤池金母,,,新北市,吉興里15鄰南山路315巷12號,道教,02-29416100,林雪子,121.504898071289,24.9919109344482,中和區
155,板橋慈惠堂,瑤池金母,,,新北市,嘉添里白雞路33之47號,道教,02-26730801,楊秀雪,121.371002197266,24.9127407073975,三峽區
156,佛國寺,釋迦牟尼佛,,,新北市,成福里成福路315巷21號,佛教,02-26681482,許雪娥,121.428001403809,24.9236392974854,三峽區
157,桃園市大溪區永安宮,三官大帝,,,桃園市,瑞興里8鄰大鶯路870巷5號,道教,03-3801239,林繼雄,121.301803588867,24.9187107086182,大溪區
158,慈聖宮,天上聖母,,,桃園市,美華里美山路1段12鄰693巷49號,道教,03-3886432,蔡水木,121.30069732666,24.8738594055176,大溪區
159,月眉山觀音寺,普庵祖師,,,桃園市,月眉里15鄰月眉路1號,佛教,03-3881746,李戶峯,121.28630065918,24.8877201080322,大溪區
160,妙音寺,釋迦牟尼佛,,,桃園市,內定里合圳北路2段5鄰470號,佛教,03-4531778,游蘭蕾,121.247276306152,25.0060768127441,中壢區
161,普陀山慈航宮,普庵祖師,,,新北市,乾華里阿里磅88號之1,道教,02-26380519,江炎泉,121.744400024414,25.0433692932129,石門區
162,財團法人台北行天宮北投分宮,關聖帝君,,,臺北市,中央北路四段18巷50號,道教,02-28912731,吳岳羽,121.477699279785,25.1366806030273,北投區
163,廣天寺,釋迦牟尼佛,,,桃園市,青埔里7鄰55號,佛教,03-4531610,李文鈺,121.21849822998,25.0149402618408,中壢區
164,福源宮,福德正神,,,基隆市,友一里華新一路107之5號,道教,02-24516934,黃文進,121.665733337402,25.09934425354,七堵區
165,自強里水尾福德廟,福德正神,,,基隆市,自強里大華一路123號旁,道教,02-24569686,張燈錄,121.712425231934,25.1012592315674,七堵區
166,聖安慈惠堂,瑤池金母,,,基隆市,友二里14鄰華新二路112號,道教,02-24516161,吳麗霞,121.664497375488,25.1229953765869,七堵區
167,觀音禪院,普庵祖師,,,新北市,安樂里安樂路217巷22號,佛教,02-29421035,蕭金蘭,121.513801574707,24.9985599517822,中和區
168,和美宮,福德正神,,,新北市,福祥里永和路66巷1之1號,道教,02-22438310,許全興,121.498802185059,25.0045795440674,中和區
169,無極七玄宮,九天玄女,,,新北市,鳶山里中山路459巷201號,道教,02-26746506,劉輦,121.344802856445,24.9297790527344,三峽區
170,普陀淨苑,釋迦牟尼佛,,,新北市,溪東里溪東路233巷47弄2號,佛教,02-86768796,連阿惠,121.407997131348,24.934419631958,三峽區
171,三層福安宮,天上聖母,,,桃園市,福安里24鄰三層43號,道教,03-3884767,林阿傳,121.296714782715,24.8586235046387,大溪區
172,廣福宮,福德正神,,,新北市,積穗里11鄰中山路三段63巷臨27號,道教,02-22211519,何雲坊,121.476654052734,25.0030841827393,中和區
173,保慶宮,福德正神,,,新北市,保平路326巷28號,道教,02-22498995,陳建行,121.506202697754,25.004919052124,中和區
174,保儀宮,廣澤尊王,,,新北市,安坑里安坑路38之7號,道教,02-26726169,翁利成,121.454238891602,24.9320201873779,三峽區
175,福正宮,福德正神,,,臺北市,劍潭里中山北路4段67號,道教,02-25925144,陳健智,121.52449798584,25.0804290771484,中山區
176,齋明寺,普庵祖師,,,桃園市,光明里齋明街153號,佛教,03-3801426,洪鴻榮,121.274528503418,24.8890705108643,大溪區
177,北源天山無極靈山宮,瑤池金母,,,新北市,長坑里長道坑36號之2,道教,02-86303247,洪店,121.389137268066,25.1273326873779,八里區
178,新北市集福宮福德爺,福德正神,,,新北市,成德里天乙路14號,道教,02-82951212,林正盛,121.44889831543,25.1030197143555,五股區
179,友蚋清水岩,清水祖師,,,基隆市,友一里華新一路39號,道教,02-24515607,王高程,121.66780090332,25.0908107757568,七堵區
180,圓通禪寺,釋迦牟尼佛,,,新北市,錦昌里圓通路367巷64號,佛教,02-22472350,蔡杏紋,121.492698669434,24.9822902679443,中和區
181,中和協昇廟,玄天上帝,,,新北市,灰磘里員山路49號之5,道教,02-22238558,游丙丁,121.480499267578,24.9915008544922,中和區
182,台北紫微天后宮,天上聖母,,,新北市,竹崙里紫微南路50號,道教,02-26726400,劉燕耀,121.422302246094,24.9089393615723,三峽區
183,三峽福安宮,福德正神,,,新北市,民權街32號,道教,02-26731091,黃宗祥,121.369903564453,24.9341106414795,三峽區
184,植福宮,福德正神,,,臺北市,成功里北安路608巷14弄1號,道教,02-25323316,陳志堂,121.550598144531,25.0817794799805,中山區
185,福德宮,福德正神,,,桃園市,大鶯路1566之1號,道教,03-3076599,沈龍飛,121.318786621094,24.9302158355713,大溪區
186,聚賢慈惠堂,瑤池金母,,,桃園市,復興里復興路2段318號,道教,03-3884303,李賢生,121.31169128418,24.8258361816406,大溪區
187,明園大佛寺,釋迦牟尼佛,,,新北市,米倉里牛寮埔1號,佛教,02-26182525,徐蔡靜江,121.436302185059,25.1486206054688,八里區
188,瞿公真人廟,瞿公真人,,,臺北市,建功里天水路49-1號,道教,02-25586595,林程品,121.512771606445,25.0529232025146,大同區
189,太陽堂,太陽星君,,,臺北市,碧山里碧山路2號,道教,02-27909328,李根木,121.591300964355,25.0866203308105,內湖區
190,福德宮,福德正神,,,基隆市,愛三路49巷9號,道教,02-24257937,江陳麟,121.742134094238,25.1280879974365,仁愛區
191,信天宮,玄天上帝,,,新北市,店子里菜公坑97之1號,道教,02-26371011,蘇洺湫,121.515197753906,25.20578956604,三芝區
192,鳳舞慈惠宮,瑤池金母,,,桃園市,復興里3鄰復興路2段316巷39號,道教,03-3885910,李呂彩玉,121.31298828125,24.8251895904541,大溪區
193,元化院,釋迦牟尼佛,,,桃園市,中央里21鄰元化路205號,佛教,03-4523341,徐瑞蟬,121.22745513916,24.9606475830078,中壢區
